week,model,thinking_level,stage,sessions,messages,tokens,cost_usd
2026-05-11,claude-opus-4-6,high,(unnamed),12,797,57783926,51.15
2026-05-11,claude-opus-4-6,medium,(unnamed),2,166,18037163,13.81
2026-05-11,claude-sonnet-4-6,high,(unnamed),2,80,3764942,2.08
2026-05-11,claude-sonnet-4-6,medium,(unnamed),5,67,6502144,3.74
2026-05-11,deepseek-v4-pro,high,(unnamed),1,38,1336448,0.14
2026-05-11,kimi-k2.6,high,(unnamed),1,16,171130,0.12
2026-05-18,claude-opus-4-6,high,(unnamed),73,3758,413842202,345.50
2026-05-18,claude-opus-4-6,high,Build,2,4,714438,2.42
2026-05-18,claude-opus-4-6,high,Planning,14,464,18485908,17.29
2026-05-18,claude-opus-4-6,high,Retrospective,15,182,22215198,16.14
2026-05-18,claude-opus-4-6,high,Ship,2,5,438684,1.29
2026-05-18,claude-opus-4-6,high,TDD,11,73,7022321,11.81
2026-05-18,claude-opus-4-6,medium,(unnamed),6,62,5866955,7.97
2026-05-18,claude-opus-4-6,xhigh,(unnamed),19,474,34475089,38.47
2026-05-18,claude-sonnet-4-6,high,(unnamed),37,2229,245172702,107.12
2026-05-18,claude-sonnet-4-6,high,Build,2,501,82598268,28.11
2026-05-18,claude-sonnet-4-6,high,Planning,16,218,9433463,7.90
2026-05-18,claude-sonnet-4-6,high,TDD,14,769,64015762,26.36
2026-05-18,claude-sonnet-4-6,medium,(unnamed),5,69,8349113,5.30
2026-05-18,claude-sonnet-4-6,xhigh,(unnamed),1,42,14302633,4.79
2026-05-18,deepseek-v4-flash,high,(unnamed),42,711,70482185,0.77
2026-05-18,deepseek-v4-flash,high,Build,2,27,4005515,0.05
2026-05-18,deepseek-v4-flash,high,Ship,2,33,2429273,0.01
2026-05-18,deepseek-v4-flash,high,TDD,14,176,13940306,0.20
2026-05-18,deepseek-v4-flash,xhigh,(unnamed),2,52,1184690,0.03
2026-05-18,deepseek-v4-pro,high,(unnamed),2,67,3558451,0.37
2026-05-18,deepseek-v4-pro,high,Retrospective,1,27,2776373,0.44
2026-05-18,deepseek-v4-pro,xhigh,(unnamed),2,40,3379144,0.37
2026-05-18,kimi-k2.6,high,(unnamed),3,133,6746926,3.06
2026-05-25,claude-haiku-4-5,high,TDD,1,24,3064312,0.61
2026-05-25,claude-opus-4-6,high,(unnamed),43,454,25618881,28.21
2026-05-25,claude-opus-4-6,high,Build,1,3,293157,0.72
2026-05-25,claude-opus-4-6,high,Planning,31,1085,51008077,47.49
2026-05-25,claude-opus-4-6,high,Retrospective,32,525,81321868,52.86
2026-05-25,claude-opus-4-6,high,Ship,8,187,30231130,23.03
2026-05-25,claude-opus-4-6,high,TDD,27,673,93685928,77.53
2026-05-25,claude-opus-4-6,medium,Planning,1,9,944334,1.13
2026-05-25,claude-opus-4-6,off,(unnamed),1,1,53452,0.03
2026-05-25,claude-opus-4-6,xhigh,(unnamed),4,155,13464634,17.11
2026-05-25,claude-opus-4-6,xhigh,Planning,5,145,11456956,13.34
2026-05-25,claude-opus-4-6,xhigh,Retrospective,1,43,8533872,7.11
2026-05-25,claude-opus-4-8,high,(unnamed),20,73,2294186,5.37
2026-05-25,claude-opus-4-8,high,Build,1,56,8908405,7.78
2026-05-25,claude-opus-4-8,high,Planning,18,387,32703573,50.62
2026-05-25,claude-opus-4-8,high,Retrospective,16,219,50475188,40.86
2026-05-25,claude-opus-4-8,high,Ship,3,10,2243202,4.93
2026-05-25,claude-opus-4-8,high,TDD,15,803,158812477,126.61
2026-05-25,claude-opus-4-8,low,(unnamed),2,4,43301,0.15
2026-05-25,claude-opus-4-8,low,Planning,1,21,935658,1.40
2026-05-25,claude-opus-4-8,medium,(unnamed),1,1,0,0.00
2026-05-25,claude-opus-4-8,minimal,(unnamed),1,1,0,0.00
2026-05-25,claude-opus-4-8,off,(unnamed),1,1,22010,0.02
2026-05-25,claude-opus-4-8,xhigh,(unnamed),2,43,4201413,6.73
2026-05-25,claude-opus-4-8,xhigh,Planning,4,85,11780718,19.21
2026-05-25,claude-opus-4-8,xhigh,TDD,1,36,7904906,8.28
2026-05-25,claude-sonnet-4-6,high,(unnamed),7,88,3551953,2.86
2026-05-25,claude-sonnet-4-6,high,Build,2,88,5568671,3.07
2026-05-25,claude-sonnet-4-6,high,Planning,38,151,9199811,12.01
2026-05-25,claude-sonnet-4-6,high,Ship,1,95,13232372,4.89
2026-05-25,claude-sonnet-4-6,high,TDD,38,2421,254910468,105.23
2026-05-25,claude-sonnet-4-6,xhigh,Planning,1,6,578454,0.49
2026-05-25,deepseek-v4-flash,high,(unnamed),4,14,242755,0.01
2026-05-25,deepseek-v4-flash,high,Build,2,48,4610481,0.04
2026-05-25,deepseek-v4-flash,high,Planning,2,43,1940719,0.02
2026-05-25,deepseek-v4-flash,high,Ship,10,156,16334641,0.06
2026-05-25,deepseek-v4-flash,high,TDD,46,626,66216330,0.86
2026-06-01,claude-opus-4-8,high,(unnamed),37,357,37239636,47.09
2026-06-01,claude-opus-4-8,high,Build,2,46,4708945,4.96
2026-06-01,claude-opus-4-8,high,Planning,33,723,74560108,95.77
2026-06-01,claude-opus-4-8,high,Retrospective,33,433,110877507,78.10
2026-06-01,claude-opus-4-8,high,Ship,5,13,3004340,7.90
2026-06-01,claude-opus-4-8,high,TDD,29,862,178804185,164.96
2026-06-01,claude-opus-4-8,low,Planning,1,3,792563,1.96
2026-06-01,claude-opus-4-8,medium,(unnamed),1,1,128932,0.14
2026-06-01,claude-opus-4-8,xhigh,(unnamed),10,85,7871807,13.37
2026-06-01,claude-opus-4-8,xhigh,Planning,9,229,30941176,42.55
2026-06-01,claude-sonnet-4-6,high,(unnamed),3,10,151733,0.20
2026-06-01,claude-sonnet-4-6,high,Build,1,52,8220192,4.79
2026-06-01,claude-sonnet-4-6,high,Planning,21,87,9040725,10.82
2026-06-01,claude-sonnet-4-6,high,Retrospective,1,9,2299208,1.69
2026-06-01,claude-sonnet-4-6,high,TDD,23,1878,257792896,112.46
2026-06-01,deepseek-v4-flash,high,Build,1,14,1783564,0.02
2026-06-01,deepseek-v4-flash,high,Ship,5,78,9192566,0.03
2026-06-01,deepseek-v4-flash,high,TDD,19,233,33197483,0.44
2026-06-08,claude-fable-5,high,(unnamed),3,109,11804208,28.07
2026-06-08,claude-opus-4-6,high,Retrospective,1,18,641669,1.89
2026-06-08,claude-opus-4-8,high,(unnamed),38,288,22594134,43.84
2026-06-08,claude-opus-4-8,high,Build,2,30,2410905,2.67
2026-06-08,claude-opus-4-8,high,PR Review,2,27,1678918,2.69
2026-06-08,claude-opus-4-8,high,Planning,29,611,47921237,59.51
2026-06-08,claude-opus-4-8,high,Retrospective,29,495,108507906,87.58
2026-06-08,claude-opus-4-8,high,Ship,10,22,3805702,12.16
2026-06-08,claude-opus-4-8,high,TDD,23,677,115499553,96.39
2026-06-08,claude-opus-4-8,xhigh,(unnamed),3,72,10947000,17.86
2026-06-08,claude-opus-4-8,xhigh,Planning,3,117,19003530,20.55
2026-06-08,claude-opus-4-8,xhigh,TDD,2,137,42559486,24.36
2026-06-08,claude-sonnet-4-6,high,(unnamed),4,30,1261780,1.23
2026-06-08,claude-sonnet-4-6,high,Build,3,126,8583157,3.65
2026-06-08,claude-sonnet-4-6,high,PR Review,1,3,50406,0.09
